name,kisaadi,bolum
MANAGEMENT,AD,MANAGEMENT
ASIAN STUDIES,ASIA,ASIAN STUDIES
ASIAN STUDIES WITH THESIS,ASIA,ASIAN STUDIES WITH THESIS
ATATURK INSTITUTE FOR MODERN TURKISH HISTORY,ATA,ATATURK INSTITUTE FOR MODERN TURKISH HISTORY
AUTOMOTIVE ENGINEERING,AUTO,AUTOMOTIVE ENGINEERING
MOLECULAR BIOLOGY & GENETICS,BIO,MOLECULAR BIOLOGY & GENETICS
BUSINESS INFORMATION SYSTEMS,BIS,BUSINESS INFORMATION SYSTEMS
BUSINESS INFORMATION SYSTEMS (WITH THESIS),BIS,BUSINESS INFORMATION SYSTEMS (WITH THESIS)
BIOMEDICAL ENGINEERING,BM,BIOMEDICAL ENGINEERING
CRITICAL AND CULTURAL STUDIES,CCS,CRITICAL AND CULTURAL STUDIES
CIVIL ENGINEERING,CE,CIVIL ENGINEERING
CONSTRUCTION ENGINEERING AND MANAGEMENT,CEM,CONSTRUCTION ENGINEERING AND MANAGEMENT
COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY,CET,COMPUTER EDUCATION & EDUCATIONAL TECHNOLOGY
EDUCATIONAL TECHNOLOGY,CET,EDUCATIONAL TECHNOLOGY
CHEMICAL ENGINEERING,CHE,CHEMICAL ENGINEERING
CHEMISTRY,CHEM,CHEMISTRY
COMPUTER ENGINEERING,CMPE,COMPUTER ENGINEERING
COGNITIVE SCIENCE,COGS,COGNITIVE SCIENCE
COMPUTER PROGRAMMING  PROGRAM,COMP,COMPUTER PROGRAMMING  PROGRAM
COMPUTATIONAL SCIENCE & ENGINEERING,CSE,COMPUTATIONAL SCIENCE & ENGINEERING
DATA SCIENCE AND ARTIFICIAL INTELLIGENCE,DSAI,DATA SCIENCE AND ARTIFICIAL INTELLIGENCE
ECONOMICS,EC,ECONOMICS
EDUCATIONAL SCIENCES,ED,EDUCATIONAL SCIENCES
ELECTRICAL & ELECTRONICS ENGINEERING,EE,ELECTRICAL & ELECTRONICS ENGINEERING
ECONOMICS AND FINANCE,EF,ECONOMICS AND FINANCE
ELECTRONICS  PROGRAM,ELT,ELECTRONICS  PROGRAM
ENVIRONMENTAL SCIENCES,ENV,ENVIRONMENTAL SCIENCES
ENVIRONMENTAL TECHNOLOGY,ENVT,ENVIRONMENTAL TECHNOLOGY
EARTHQUAKE ENGINEERING,EQE,EARTHQUAKE ENGINEERING
EUROPEAN STUDIES,ES,EUROPEAN STUDIES
ENGINEERING AND TECHNOLOGY MANAGEMENT,ETM,ENGINEERING AND TECHNOLOGY MANAGEMENT
FINANCIAL ENGINEERING,FE,FINANCIAL ENGINEERING
FUEL AND ENERGY TECHNOLOGIES,FET,FUEL AND ENERGY TECHNOLOGIES
FILM AND MEDIA STUDIES,FILM,FILM AND MEDIA STUDIES
FOREIGN LANGUAGE EDUCATION,FLED,FOREIGN LANGUAGE EDUCATION
FOREIGN LANGUAGE TEACHING (WITHOUT THESIS),FLT,FOREIGN LANGUAGE TEACHING (WITHOUT THESIS)
GEODESY,GED,GEODESY
GLOBAL & INTERNATIONAL AFFAIRS,GIAP,GLOBAL & INTERNATIONAL AFFAIRS
GEOPHYSICS,GPH,GEOPHYSICS
GUIDANCE & PSYCHOLOGICAL COUNSELING,GUID,GUIDANCE & PSYCHOLOGICAL COUNSELING
HISTORY,HIST,HISTORY
HUMANITIES COURSES COORDINATOR,HUM,HUMANITIES COURSES COORDINATOR
INDUSTRIAL ENGINEERING,IE,INDUSTRIAL ENGINEERING
INTERNATIONAL COMPETITION AND TRADE,INCT,INTERNATIONAL COMPETITION AND TRADE
CONFERENCE INTERPRETING,INT,CONFERENCE INTERPRETING
INTERNATIONAL TRADE,INTT,INTERNATIONAL TRADE
INTERNATIONAL TRADE MANAGEMENT,INTT,INTERNATIONAL TRADE MANAGEMENT
INFORMATION SYSTEMS ENGINEERING,ISEM,INFORMATION SYSTEMS ENGINEERING
LAW PR.,LAW,LAW PR.
LINGUISTICS,LING,LINGUISTICS
ENGLISH LITERATURE,LL,ENGLISH LITERATURE
WESTERN LANGUAGES & LITERATURES,LL,WESTERN LANGUAGES & LITERATURES
LEARNING SCIENCES,LS,LEARNING SCIENCES
BUSINESS ADMINISTRATION PROGRAM,MAN,BUSINESS ADMINISTRATION PROGRAM
MATHEMATICS,MATH,MATHEMATICS
MEDICAL SYSTEMS & INFORMATICS,MDSI,MEDICAL SYSTEMS & INFORMATICS
MECHANICAL ENGINEERING,ME,MECHANICAL ENGINEERING
MECHATRONICS ENGINEERING (WITH THESIS),MECA,MECHATRONICS ENGINEERING (WITH THESIS)
MECHATRONICS ENGINEERING (WITHOUT THESIS),MECA,MECHATRONICS ENGINEERING (WITHOUT THESIS)
"INTERNATIONAL RELATIONS:TURKEY,EUROPE AND THE MIDDLE EAST",MIR,"INTERNATIONAL RELATIONS:TURKEY,EUROPE AND THE MIDDLE EAST"
"INTERNATIONAL RELATIONS:TURKEY,EUROPE AND THE MIDDLE EAST WITH THESIS",MIR,"INTERNATIONAL RELATIONS:TURKEY,EUROPE AND THE MIDDLE EAST WITH THESIS"
MANAGEMENT INFORMATION SYSTEMS,MIS,MANAGEMENT INFORMATION SYSTEMS
TURİZM VE OTEL İŞLETMECİLİĞİ PROGRAMI,MSG,TURİZM VE OTEL İŞLETMECİLİĞİ PROGRAMI
NUCLEAR ENGINEERING,NE,NUCLEAR ENGINEERING
FINE ARTS,PA,FINE ARTS
PHYSICAL EDUCATION,PE,PHYSICAL EDUCATION
INTEGRATED BS&MS PROGRAM IN TEACHING PHYSICS,PEDU,INTEGRATED BS&MS PROGRAM IN TEACHING PHYSICS
PEDAGOGICAL FORMATION CERTIFICATE PROGRAM,PF,PEDAGOGICAL FORMATION CERTIFICATE PROGRAM
PHILOSOPHY,PHIL,PHILOSOPHY
PHYSICS,PHYS,PHYSICS
POLITICAL SCIENCE&INTERNATIONAL RELATIONS,POLS,POLITICAL SCIENCE&INTERNATIONAL RELATIONS
EARLY CHILDHOOD EDUCATION,PRED,EARLY CHILDHOOD EDUCATION
PRIMARY EDUCATION,PRED,PRIMARY EDUCATION
UNDERGRADUATE PROGRAM IN MATHEMATICS EDUCATION,PRMA,UNDERGRADUATE PROGRAM IN MATHEMATICS EDUCATION
UNDERGRADUATE PROGRAM IN SCIENCE EDUCATION,PRSC,UNDERGRADUATE PROGRAM IN SCIENCE EDUCATION
UNDERGRADUATE PROGRAM IN PRESCHOOL EDUCATION,PRSO,UNDERGRADUATE PROGRAM IN PRESCHOOL EDUCATION
PSYCHOLOGY,PSY,PSYCHOLOGY
MATHEMATICS AND SCIENCE EDUCATION,SCED,MATHEMATICS AND SCIENCE EDUCATION
